eventid,iyear,imonth,iday,extended,resolution,country_txt,provstate,city,specificity,vicinity,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gsubname,gname2,gsubname2,motive,guncertain1,guncertain2,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,compclaim,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,ishostkid,nhostkid,nhostkidus,nhours,ndays,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
200001010027,2000,1,1,0,,United States,Michigan,Mesick,1.0,1,"01/1/2000: Four members of the Earth Liberation Front (ELF) torched commercial logging equipment, including a flat-bed trailer and a large logging tractor, on the side of Michigan Highway 115, near Mesick, Michigan in the Unites States, causing over $18,000 in damage. There were no casualties in the incident, which was committed to sabotage lumbering activity. The four perpetrators, Marie Jeanette Mason, Frank Brian Ambrose, Aren Bernard Burthwick, and Stephanie Lynne Fultz, were also indicted for the New Year's Eve Michigan State University arson in 1999 (199912310003).",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,5.0,Industrial/Textiles/Factory,commercial logging equipment,"commercial logging equipment on the side of M-115 Highway near Mesick, MI",United States,,,,,,,,,,,Earth Liberation Front (ELF),,,,To sabotage lumbering activity.,0.0,,0,4.0,4.0,-9,,,,,,,Incendiary,Gasoline or Alcohol,,,,,"gasoline, charcoal and matches used to set the fire",0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,0.0,,,,"The four perpetrators were also indicted for the New Year's Eve 1999 arson at Michigan State University (199912310003). For the two incidents, Marie Mason was sentenced to 21 years and 10 months, and Frank Ambrose was sentenced to nine years due to his cooperation with the government;  Burthwick and Fultz were indicted and still awaiting trial as of 2009.","""AG Hall Arsonist Sentenced to 21 Years in Prison,"" States News Service, February 5, 2009.","Art Bukowski, ""Activists planned MSU arson plot in Empire: ELF also accused of arson in Mesick,"" Traverse City Record-Eagle, March 14, 2008.","Justice Department Documents and Publications, ""Four Charged in Earth Liberation Front Arsons  in Michigan,"" Federal Information and News Dispatch, Inc., March 11, 2008.",Eco Project 2010,0,1,0,1,
200001030007,2000,1,3,0,,United States,California,Petaluma,1.0,0,"01/03/2000: Unknown suspects set three separate fires on the grounds of the Rancho Veal Corporation in Petaluma, California, U.S.A.. Subsequent investigation determined that an accelerant, believed to be diesel fuel, was used in the attack. The fires damaged office space, two trucks, and an equipment storage facility, resulting in an estimated $150,000 in damages. On March 16, 2000, the North American Animal Liberation Front Press Office released a communiqué stating that a cell of the Animal Liberation Front (ALF), a terrorist animal rights movement, claimed responsibility for the fires. A similar act of attempted arson had been claimed by ALF against the Rancho Veal Corporation in February 1997. The same ALF cell is suspected in a number of other attacks on business in the Bay area.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,,,Rancho Veal Corporation,"Racho Veal office storage facilities and trucks in Petaluma, California",United States,,,,,,,,,,,Animal Liberation Front (ALF),,,,Unknown,0.0,,0,,0.0,1,1.0,Letter,,,,-9.0,Incendiary,Arson/Fire,,,,,Diesel fuel was used to start the fires.,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,,"""Animal Liberation Front says they attack California Companies,"" Environment News Service, April 16, 2000.","FBI ""Terrorism in the United States 2000/2001"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.",,CETIS,0,1,0,1,
200001030008,2000,1,3,0,,United States,Ohio,Cincinnati,1.0,0,"1/3/2000: In a series of related incidents, a bomb placed in a package was sent to the Cincinnati Planned Parenthood clinic in Ohio, United States. The device was discovered and subsequently disarmed.",1,1,1,0,,,1.0,0,0,3,Bombing/Explosion,,,,,5,Abortion Related,40.0,Clinics,Planned Parenthood,Planned Parenthood of Cincinnati,United States,,,,,,,,,,,Anti-Abortion extremists,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.,0.0,,0,-99.0,-99.0,0,,,,,,,Explosives,Letter Bomb,,,,,Shrapnel bombs placed in a package designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0.0,,,,,"""Abortion Clinics Evacuated After Threats of Anthrax,"" American Health Line, January 4, 2000.","Patricia Baird-Windle and Eleanor J. Bader, ""Targets of Hatred: Anti-Abortion Terrorism,"" Palgrave, 2001.",,Anti-Abortion Project 2010,-9,-9,0,-9,"200001030008, 200001030009"
200001030009,2000,1,3,0,,United States,Ohio,Cincinnati,1.0,0,"1/3/2000: In a series of related incidents, a bomb placed in a package was sent to an abortion clinic in Cincinnati, Ohio, United States. The device was discovered and subsequently disarmed.",1,1,1,0,,,1.0,0,0,3,Bombing/Explosion,,,,,5,Abortion Related,40.0,Clinics,"Abortion clinic in Cincinnati, Ohio",,United States,,,,,,,,,,,Anti-Abortion extremists,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.,0.0,,0,-99.0,-99.0,0,,,,,,,Explosives,Letter Bomb,,,,,Shrapnel bombs placed in a package designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0.0,,,,"This is part of a multiple attack with 200001030008.  The owner of the abortion clinic, Debi Jackson, noticed the suspicious package and notified authorities.  She also alerted the Cincinnati Planned Parenthood.","""Abortion Clinics Evacuated After Threats of Anthrax,"" American Health Line, January 4, 2000.","Patricia Baird-Windle and Eleanor J. Bader, ""Targets of Hatred: Anti-Abortion Terrorism,"" Palgrave, 2001.",,Anti-Abortion Project 2010,-9,-9,0,-9,"200001030008, 200001030009"
200001070003,2000,1,7,0,,United Kingdom,Northern Ireland,Antrim,1.0,0,"01/07/2000: A pipe bomb exploded in the back garden of a house at Andraid Close in the Stiles Estate in Antrim, Northern Ireland. No one was injured in the attack, which authorities believed might have been related to a murder that occurred at that spot on January 1, 2000, although no group claimed responsibility.",1,1,1,1,2.0,Other Crime Type,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,76.0,House/Apartment/Residence,Private Property,The back garden of a home at the Stiles Estate in Antrim,Northern Ireland,,,,,,,,,,,Unknown,,,,Unknown,0.0,,0,,0.0,0,,,,,,,Explosives,Pipe Bomb,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,"Denver Smith, 32, had been murdered at the same location as this incident on January 1, 2000. Three men were charged in connection with his death.","“Blast in N. Ireland Town; None Injured,” Press Association, January 7, 2000.",,,CETIS,-9,-9,1,1,
200001100001,2000,1,10,0,,United Kingdom,Northern Ireland,Portadown,1.0,0,"01/10/2000: Commander of an Ulster Volunteer Force (UVF) group in Portadown, County Armagh, Richard Jameson was shot repeatedly and killed, probably by members of the UVF split-off Loyalist Volunteer Force (LVF).",1,1,1,1,2.0,Other Crime Type,0.0,1,0,1,Assassination,,,,,17,Terrorists/Non-State Militia,94.0,Non-State Militia,Ulster Volunteer Force (UVF),"Commander of the Ulster Volunteer Force (UVF) group in Portadown, Richard Jameson",Northern Ireland,,,,,,,,,,,Loyalist Volunteer Forces (LVF),,,,Unknown,0.0,,0,1.0,0.0,0,,,,,,,Firearms,Unknown Gun Type,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,"David Sharrock, “Ulster Terrorist Leader Murdered by Rival Faction,” The Daily Telegraph (Internet version), January 11, 2000.","Chris Anderson, “Ulster Police Expect Loyalist Feud,” The Irish Times (Internet Version), January 11, 2000.","Deric Henderson, “UK: LVF Blamed After Rival Loyalist Gunned Down,” Press Association, January 10, 2000.",CETIS,0,0,1,1,
200001150004,2000,1,15,0,,United States,California,Petaluma,1.0,0,"01/15/2000: The Animal Liberation Front (ALF) claimed responsibility for placing incendiary devices at the offices and in the cabs of two delivery trucks of Petaluma Farms in Petaluma, California in the United States. The two trucks were destroyed, and upon a search of the facility, authorities uncovered 6 additional improvised incendiary devices which had failed to ignite. In a later communiqué released by the North American Animal Liberation Front Press Office, ALF took credit for the incident, stating that the farm was targeted because it ""enslaves chickens for their eggs.""  There were no casualties in the incident, and the monetary damage was estimated at $20,000.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,9.0,Farm/Ranch,Petaluma Farms,"chicken farm in Petaluma, CA",United States,,,,,,,,,,,Animal Liberation Front (ALF),,,,To protest the enslavement of chickens.,0.0,,0,-99.0,-99.0,1,1.0,Letter,,,,,Incendiary,Arson/Fire,,,,,more than six incendiary devices,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,0.0,,,,,"FBI, ""Terrorism 2000/2001,""FBI, DOJ, 2001.","Suzanne Bohan, ""Some cage-free egg producers fear effects of Prop. 2,"" Contra Costa Times (California), September 24, 2008.","Debra J. Saunders, ""Save the Chickens,"" San Francisco Chronicle, March 26, 2000.",Eco Project 2010,0,1,0,1,
200001200002,2000,1,20,0,,United States,Indiana,Bloomington,1.0,0,"01/20/2000: The Earth Liberation Front (ELF) claimed responsibility for setting a luxury home, that was under construction, on fire in Bloomington, Indiana, U.S.A.. The fire caused an estimated $200,000 in damages. ELF says that the home was targeted because it is within the Lake Monroe watershed. In their written statement, the group states, ""this is the drinking water supply for the town of Bloomington, IN, and the surrounding area. It is already being jeopardized by existing development and roads."" Authorities also found the initials ""ELF"" and the words ""No Sprawl"" spray painted near the scene of the attack.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,76.0,House/Apartment/Residence,A Luxury Home,"An unfinished luxury home in Bloomington, Indiana",United States,,,,,,,,,,,Earth Liberation Front (ELF),,,,The home was targeted because it is within the Lake Monroe watershed and supposedly posed a threat to Bloomington's water supply.,0.0,,0,,0.0,1,5.0,Note left at scene,,,,-9.0,Incendiary,Arson/Fire,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,"Homeowners and the Indiana Crime and Arson association offered $15,000 reward for the capture of the perpetrators.","Associated Press. ""Bloomington house fire reward up to $15,000; Also moved for AMs"" January 31, 2000","Associated Press ""Local ELF group feels backlash due to confusion over fire"". January 26, 2000.",,CETIS,0,1,0,1,
200001240007,2000,1,24,0,,United States,California,Redwood City,1.0,0,"01/24/2000: The Animal Liberation Front (ALF) claimed credit for an attempted arson of the Primate Products, Inc. in Redwood City, California in the United States. The perpetrators placed flammable materials inside the mail slot of the facility. There were no casualties in the incident, but it is unknown if any damage resulted from the materials.",1,1,1,0,,,0.0,0,0,7,Facility/Infrastructure Attack,,,,,1,Business,,,"Primate Products, Inc.","a company which makes cages and other animal research equipment for primates in Redwood City, CA",United States,,,,,,,,,,,Animal Liberation Front (ALF),,,,The company made cages and other animal equipment for use in animal laboratory experiments.,0.0,,0,-99.0,-99.0,1,1.0,Letter,,,,,Incendiary,Arson/Fire,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0.0,,,,,"James W. Sweeney, ""Rights Group Takes Credit for 6 Attacks, 3 Meat, Poultry Firms in County Among Victims,"" The Press Democrat, March 17, 2000.","""Animal Liberation Front Says They Attacked California Companies,"" Environmental News Service, March 16, 2000.","Pamela J. Podger, ""Animal-Rights Cell Says It Attacked 6 Local Firms,"" San Francisco Chronicle, March 17, 2000.",Eco Project 2010,0,1,0,1,
200002060001,2000,2,6,0,,United Kingdom,Northern Ireland,Irvinestown,1.0,0,"02/06/2000: Authorities blamed the Continuity Irish Republican Army (CIRA) for bombing a rural hotel in Irvinestown, Northern Ireland. The assailants warned police of this attack and thus civilians were evacuated from the area. There were no casualties reported.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,8.0,Hotel/Resort,Hotel,"Hotel in Irvinestown, Northern Ireland",Northern Ireland,,,,,,,,,,,Continuity Irish Republican Army (CIRA),,,,Unknown,0.0,,0,,0.0,1,3.0,Call (pre-incident),,,,-9.0,Explosives,Unknown Explosive Type,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,,"“Bomb Explodes at Northern Ireland Hotel,” London Press Association, February 06, 2000.","“IRA Dissidents Suspected in Bombing,” Associated Press Online, February 06, 2000.","Ian Graham, “Ulster Peace in Crisis After Hotel Blast,” London Press Association, February 06, 2000.",CETIS,0,0,1,1,
